horizon,model,observations,WAPE,RMSE
1,local_trend_24,24,6.908078073330594,206.26606755138738
1,local_trend_60,24,8.526377224729236,240.52743093019075
1,ridge_ar_0.1,24,5.434818525431294,154.9174290965616
1,ridge_ar_1,24,5.117008021445126,150.64888359581113
1,ridge_ar_10,24,5.378862542793875,160.43428967190826
1,ridge_ar_100,24,4.90967491722489,149.50889452499214
1,seasonal_naive,24,12.204755270819932,337.2504740112804
1,seasonal_trend,24,11.845792561373258,324.12576893523453
2,local_trend_24,24,8.206922599760773,243.1872881449491
2,local_trend_60,24,9.053710389863086,255.09967388225198
2,ridge_ar_0.1,24,8.30486340846479,246.8801544109302
2,ridge_ar_1,24,8.628504909462366,256.62559887092146
2,ridge_ar_10,24,8.291846129833823,250.10483273912206
2,ridge_ar_100,24,6.806499617924428,207.91604953958011
2,seasonal_naive,24,12.204755270819932,337.2504740112804
2,seasonal_trend,24,11.782716110495416,317.9683073966466
3,local_trend_24,24,9.414195005603148,275.2685517196924
3,local_trend_60,24,9.47775429159445,267.35903793234877
3,ridge_ar_0.1,24,10.04504329147034,313.65418853981066
3,ridge_ar_1,24,10.816131950738967,333.11938821224913
3,ridge_ar_10,24,9.938579804155326,310.16740683621896
3,ridge_ar_100,24,8.235633859921922,251.36305030360785
3,seasonal_naive,24,12.204755270819932,337.2504740112804
3,seasonal_trend,24,12.073844643625879,320.18269770448944
