horizon,model,observations,WAPE,RMSE
1,local_trend_24,24,14.558824936058398,98.94545806149112
1,local_trend_60,24,20.01597159176638,136.34718172420685
1,ridge_ar_0.1,24,3.591786047293948,28.825248261760944
1,ridge_ar_1,24,3.4058670528453465,26.71825060922198
1,ridge_ar_10,24,3.2494644815366938,25.78678107241931
1,ridge_ar_100,24,1.842270377269013,14.884669711455924
1,seasonal_naive,24,24.83160764938316,167.8740518836468
1,seasonal_trend,24,23.743410674488235,160.50438500204166
2,local_trend_24,24,17.747266454641025,120.94897891117343
2,local_trend_60,24,21.322957276010275,145.115434433074
2,ridge_ar_0.1,24,4.976288277797499,40.889636675279604
2,ridge_ar_1,24,4.258053507054275,34.00895836267864
2,ridge_ar_10,24,3.8167243092108127,31.0333985222402
2,ridge_ar_100,24,2.198116735589334,18.80019679358962
2,seasonal_naive,24,24.83160764938316,167.8740518836468
2,seasonal_trend,24,23.16677132704685,157.07325654195228
3,local_trend_24,24,21.172166132874107,144.13217896095762
3,local_trend_60,24,22.56852466088735,153.45425856898694
3,ridge_ar_0.1,24,6.122161995656045,48.75868726909656
3,ridge_ar_1,24,4.664745961530152,36.976998652319885
3,ridge_ar_10,24,3.80676584019929,32.5019076594993
3,ridge_ar_100,24,3.228440622943749,24.866520475342014
3,seasonal_naive,24,24.83160764938316,167.8740518836468
3,seasonal_trend,24,23.28083841734013,158.69345098960875
