horizon,model,observations,WAPE,RMSE
1,local_trend_24,24,7.979280606808616,107.98396852112143
1,local_trend_60,24,16.55477072920223,209.97978330985612
1,ridge_ar_0.1,24,5.2123288799462015,68.13805801339568
1,ridge_ar_1,24,4.808382047709666,63.177947866925905
1,ridge_ar_10,24,4.659426630064521,63.6746696559781
1,ridge_ar_100,24,4.947622666730791,70.50901344032255
1,seasonal_naive,24,24.5520664620819,307.96841586570747
1,seasonal_trend,24,23.41053055187051,293.57114019101886
2,local_trend_24,24,9.20300201216234,123.48319784350707
2,local_trend_60,24,17.658750830853354,223.80602316565796
2,ridge_ar_0.1,24,5.848453875138615,76.31507044933211
2,ridge_ar_1,24,5.792658950463338,80.99519536967816
2,ridge_ar_10,24,6.9199328890811636,94.66721950546787
2,ridge_ar_100,24,7.057910864583859,101.35816752027966
2,seasonal_naive,24,24.5520664620819,307.96841586570747
2,seasonal_trend,24,22.39720657861161,280.95310745299116
3,local_trend_24,24,10.40569555779352,138.75649677350205
3,local_trend_60,24,18.763020698249733,237.09172409156895
3,ridge_ar_0.1,24,5.24108380885681,74.45401593167733
3,ridge_ar_1,24,6.722674984784304,93.41245677802523
3,ridge_ar_10,24,9.105228498348318,119.30663097707041
3,ridge_ar_100,24,9.059350812820627,126.44284568337923
3,seasonal_naive,24,24.5520664620819,307.96841586570747
3,seasonal_trend,24,21.542192305923525,270.5460051265911
