Date,Prophet,SARIMA,Ensemble
2022-09-01,367.22066378251594,453.5536372730186,405.96542854609095
2022-10-01,366.62670702314733,444.6018178775917,401.62060570777305
2022-11-01,365.87252053654544,445.20379674049167,401.4750430797336
2022-12-01,360.93688622720424,434.4143432599464,393.9123146534296
2023-01-01,319.90089308727556,318.54949942840375,319.2944106820132
2023-02-01,318.96729029900666,315.7344802931409,317.5164603537555
2023-03-01,323.35729417897267,310.3469531975942,317.5184752383409
2023-04-01,332.34750442245803,323.14673894149513,328.2183579354099
2023-05-01,331.0020423425676,332.5986637448359,331.7185787729291
2023-06-01,332.3027868548589,338.7964648788566,335.21703870230476
2023-07-01,342.61661539685275,347.26692309947657,344.7035941111469
2023-08-01,355.4511152815635,361.48520050841006,358.15910972708383
2023-09-01,351.242018036033,366.4894909060732,358.0848235795452
2023-10-01,353.2439892681791,358.227942376052,355.48070234488637
2023-11-01,351.9287285550385,358.59298506575703,354.9195331154805
2023-12-01,347.0766123171179,344.75208599514883,346.0334045844278
2024-01-01,343.5205406217331,310.86163282442067,328.86378030313534
2024-02-01,346.61337081558514,306.3365696244594,328.5378299823818
2024-03-01,342.93967865549496,300.1857625928333,323.75245095330445
2024-04-01,349.605682262279,314.8694213824727,334.01664134151986
2024-05-01,365.23818938427263,320.4533461891481,345.1395162537848
2024-06-01,371.6664766126397,325.41345441605256,350.90890980870796
2024-07-01,373.2589739395725,338.2395561863044,357.5428570476066
2024-08-01,382.88853792004807,360.81506263488393,372.9823390152652
2024-09-01,382.65838238752775,365.2604859658445,374.8505034626427
2024-10-01,376.8329787816778,356.8394218480936,367.860211728032
2024-11-01,377.02613097989695,357.20446453779863,368.1305054445894
2024-12-01,371.6711422611739,343.36356546719037,358.9671850178806
2025-01-01,438.06693180862925,328.56066203520516,388.92238725086963
2025-02-01,429.57848553044784,324.03559883524395,382.2126396416327
2025-03-01,423.36756540242436,317.8847918036179,376.0286972451173
2025-04-01,430.9609031003579,332.56845059325724,386.8040500143443
2025-05-01,440.9890271371393,338.1523753999326,394.83769330094214
2025-06-01,445.59687767639275,343.11248362683705,399.6036310772314
2025-07-01,450.02333622823824,355.93858539708896,407.7997061201724
2025-08-01,460.7535777648791,378.5140918456684,423.84590034580265
2025-09-01,459.18874650688053,382.95951517662905,424.97836874983926
2025-10-01,455.9847333870171,374.53845105887814,419.43303219930584
2025-11-01,455.7333783522457,374.9034937485832,419.4583059411197
2025-12-01,450.63090972251086,361.0625946779749,410.43417889808177
2026-01-01,451.78902700010303,357.54733952785176,409.49496640648294
2026-02-01,446.9938178900346,353.02227632789055,404.82099416937007
2026-03-01,446.1040073626856,346.8714692962645,401.5701382182511
2026-04-01,454.472277662217,361.55512808590385,412.77264706589347
2026-05-01,458.8386323726821,367.1390528925792,417.6854264511211
2026-06-01,461.7363575253654,372.0991611194836,421.5087139217971
2026-07-01,469.07099107476637,384.92526288973545,431.3078246671205
