Date,Prophet,SARIMA,Ensemble
2022-09-01,509.68179963352003,670.7520938955869,571.4254696367885
2022-10-01,512.9007001913164,681.7043383613826,577.6088214390858
2022-11-01,515.8046786114061,695.9319874542963,584.8535443052679
2022-12-01,521.6554693955692,713.3897778617048,595.1536890671401
2023-01-01,695.0634776134682,738.6427951469378,711.7688981448064
2023-02-01,701.0812505347997,758.8921431392465,723.2421132309076
2023-03-01,710.5821108165209,776.6554908838681,735.9102633077628
2023-04-01,711.0385161659509,789.5459260803508,741.1330511810745
2023-05-01,711.3025091274669,795.8860675602695,743.7262365658733
2023-06-01,717.8643212156416,804.5109587353489,751.0788963700471
2023-07-01,720.5007655878952,810.7592036671184,755.099865572817
2023-08-01,730.4970487434052,825.6528743484365,766.9734823524875
2023-09-01,716.0662573884599,836.0200974206581,762.04860533477
2023-10-01,723.6283625611957,842.8707100072562,769.3379714301389
2023-11-01,726.5879340284391,850.0239872337396,773.9051315944514
2023-12-01,731.5716788535387,860.1638587670421,780.8653934888522
2024-01-01,711.628613437842,863.8551705852884,769.9821810730577
2024-02-01,714.6570152171969,873.3462259989047,775.4879357073719
2024-03-01,721.2635176672732,880.1755433414429,782.1798506120228
2024-04-01,727.8260905767003,885.283824431098,788.1849444740574
2024-05-01,728.9120903334939,889.453276307726,790.4529353051839
2024-06-01,734.3262890053691,899.43713439796,797.618838376974
2024-07-01,734.757379875313,904.5162489116107,799.8316732943802
2024-08-01,740.0488734072287,912.1748363404937,806.0305536607876
2024-09-01,742.469088801261,916.8271606881548,809.306411613093
2024-10-01,737.219963469923,918.5571859454975,806.732629819338
2024-11-01,739.8695933751897,923.4793960846913,810.253416288032
2024-12-01,747.4052707484017,932.063661917114,818.1910529430057
2025-01-01,750.3468204682719,933.5760637789118,820.5847621430646
2025-02-01,762.4476428163513,945.1384683579485,832.4791908217962
2025-03-01,763.918647164318,954.5777491877005,837.0047039843162
2025-04-01,768.4866069634373,960.1488509511465,841.957201892685
2025-05-01,769.2718148743321,960.6439689611524,842.6312085718827
2025-06-01,775.0524009171434,964.4600314587307,847.6587265580033
2025-07-01,776.2193782036443,965.7029408140937,848.8548111645348
2025-08-01,783.1532500395347,974.6677145159464,856.5671961036358
2025-09-01,779.9207330369698,979.6833318637051,856.4964668646196
2025-10-01,778.8680105097977,981.5576602093128,856.5657815448648
2025-11-01,781.668335461885,984.5538020296384,859.4411696993195
2025-12-01,788.3700116133433,990.8978180787511,866.0057426845253
2026-01-01,792.0693976413004,991.6307758146869,868.5679968137046
2026-02-01,801.1121176160052,998.4636615466765,876.7636128772306
2026-03-01,806.5912761973274,1002.9298414349049,881.8544625997822
2026-04-01,809.1233301063951,1005.4209864916567,884.3708347676004
2026-05-01,809.6343040819236,1006.310239531031,885.0268158519459
2026-06-01,815.7976216412854,1012.6698053463091,891.2653619791049
2026-07-01,817.7001639159336,1014.736948625426,893.2310013639228
