Date,Prophet,SARIMA,Ensemble
2022-09-01,2292.9227715582483,2497.2767974202557,2344.008108465277
2022-10-01,2337.7975751739464,2522.526974847148,2383.97705991437
2022-11-01,2358.462733905063,2527.3866614431968,2400.6910957567216
2022-12-01,2361.9055178185104,2528.8853260223673,2403.647879990153
2023-01-01,2288.5232795044585,2946.8332057284697,2453.0905505848136
2023-02-01,2276.6211716589096,2928.2526682410107,2439.5189389121306
2023-03-01,2337.768249860155,2935.242033280051,2487.1274288162526
2023-04-01,2356.8879014024687,2950.6314641062827,2505.3145830357716
2023-05-01,2382.2549736637566,2970.5488519792543,2529.319318725319
2023-06-01,2359.9268641012427,2976.0183937125466,2513.94019084144
2023-07-01,2374.689539373941,2995.1000836813464,2529.7825527996642
2023-08-01,2409.3227373665486,3003.0520264898405,2557.745850826106
2023-09-01,2461.5308903033783,3045.059425668086,2607.403973538355
2023-10-01,2517.133327442929,3073.5124005648895,2656.219466209036
2023-11-01,2546.116657144284,3077.9855165677036,2679.0756226424724
2023-12-01,2532.4157218646415,3080.4994785698836,2669.428160188044
2024-01-01,2358.8827606005634,3007.903031439889,2521.127761918554
2024-02-01,2340.0307378801754,2989.499658875566,2502.387894778558
2024-03-01,2370.122627670604,2996.324942841829,2526.6634939811356
2024-04-01,2401.6185435570724,3012.38011093841,2554.2994624082107
2024-05-01,2432.321180220294,3032.8336056345274,2582.4399725452295
2024-06-01,2482.483079241403,3037.6305183498503,2621.261328606941
2024-07-01,2526.0924714570774,3058.5183889131736,2659.19069282339
2024-08-01,2526.751049307729,3067.3112831567246,2661.882723607923
2024-09-01,2552.115372136051,3109.502997366922,2691.4536332866064
2024-10-01,2574.901756974536,3137.9561170060256,2715.656613933426
2024-11-01,2577.256313357246,3142.613750153863,2718.5869037863868
2024-12-01,2613.240282733228,3144.643092308797,2746.0827429979495
2025-01-01,2613.117907102827,3093.584407990503,2733.2270802245857
2025-02-01,2618.2406305191234,3075.0964713998733,2732.447504843668
2025-03-01,2579.028985838233,3082.0000742337165,2704.7639567877595
2025-04-01,2607.1040172411836,3097.7374738745207,2729.7547716085037
2025-05-01,2636.633255368677,3117.935075074947,2756.951245239177
2025-06-01,2662.718409035222,3123.0530458019953,2777.79492837468
2025-07-01,2696.066352625626,3143.078793657251,2807.8125296603475
2025-08-01,2707.5821616437506,3151.4702865510467,2818.5473081059536
2025-09-01,2741.8128930031157,3193.5740238585117,2854.7461688409608
2025-10-01,2775.7421457115474,3222.0270744094937,2887.3064559466634
2025-11-01,2787.5283138743293,3226.5966341823682,2897.288583942537
2025-12-01,2807.542082598518,3228.8572941669568,2912.8643508349337
2026-01-01,2781.725359976632,3177.976847006062,2880.7820858200403
2026-02-01,2777.816817240513,3159.529274356661,2873.239011107913
2026-03-01,2788.672782299875,3166.3954941766365,2883.097601738915
2026-04-01,2812.624401787444,3182.2845704562346,2905.0337104756227
2026-05-01,2840.3714380908177,3202.6043142564367,2930.924038851511
2026-06-01,2842.2825257514414,3207.5690381800614,2933.598488215575
2026-07-01,2866.0092003720238,3228.0062928170955,2956.502858859617
