Date,Prophet,SARIMA,Ensemble
2022-09-01,717.4259264603484,943.487280825042,779.3683559204848
2022-10-01,740.0013826219331,824.318641426491,763.1049151582714
2022-11-01,752.4665164605035,765.4627417097456,756.0275752182536
2022-12-01,764.712873694022,838.1390862491833,784.8321815894603
2023-01-01,941.0806135879543,665.6349444769621,865.6065283469945
2023-02-01,938.0042539279561,751.0302959500691,886.772050902915
2023-03-01,956.3659759296636,715.7799717521352,890.4436884394224
2023-04-01,947.2514409100226,589.0962779559766,849.1143622421018
2023-05-01,940.8535984932577,484.1637266531577,815.7173041845112
2023-06-01,956.8483973869552,516.5403627236465,836.2008437415678
2023-07-01,955.2600085102802,624.824628223776,864.7183487380833
2023-08-01,962.8526023011119,740.5581181840998,901.9423222557141
2023-09-01,925.4267201960391,738.4335135536799,874.1892428991321
2023-10-01,957.251039463125,642.7144350522865,871.0657580995622
2023-11-01,971.5705359828517,528.3295207755616,850.1193246713228
2023-12-01,977.4883345626458,516.206850424916,851.0939056131797
2024-01-01,867.6510715682383,586.7938380298842,790.6941789330076
2024-02-01,859.7535055294037,714.8462547744953,820.0478814373362
2024-03-01,861.997234368299,764.0476376017525,835.1583436370126
2024-04-01,870.6240292199599,686.3144232921984,820.121877730643
2024-05-01,872.964936283625,553.427230633732,785.4093173778772
2024-06-01,896.3940206387412,504.88492754473964,789.1177263330184
2024-07-01,882.7677100056343,552.458435363118,792.2606040826754
2024-08-01,882.353112042184,681.0135882418499,827.1846411392801
2024-09-01,873.0098327271437,753.5205535018688,840.268914800439
2024-10-01,877.391199055638,726.2217216626577,835.9696800337083
2024-11-01,885.5921668864072,612.7506467948156,810.831637119762
2024-12-01,910.2248220834396,534.3154671110735,807.2229677009473
2025-01-01,905.297084146718,533.7364953216236,803.4868228212214
2025-02-01,912.4860092223728,647.4482029788505,839.8637529165744
2025-03-01,900.340483894969,753.3911586785748,860.0753167813248
2025-04-01,903.267235654939,752.47498270042,861.9490788296823
2025-05-01,902.6896046052107,646.0577356158046,832.3706352848094
2025-06-01,923.5476031365168,551.3598063269942,821.5654823331299
2025-07-01,913.8570410435442,522.2524871662822,806.5545897998081
2025-08-01,916.2394205982762,613.3153662948991,833.2360610979404
2025-09-01,897.4497632269068,720.5810027751941,848.9864566667429
2025-10-01,910.8744632803296,768.6626840313249,871.9074176776526
2025-11-01,921.2991058497339,703.0704173807117,861.5028829187539
2025-12-01,939.7863124446237,601.9864381860452,847.2267286019601
2026-01-01,933.7264745238263,528.7751783997282,822.7669203556623
2026-02-01,935.6799003139529,585.958247511835,839.8536638028229
2026-03-01,938.7961146947412,701.8343804897424,873.8669031229771
2026-04-01,935.8076697502536,767.4573098250864,889.6784659172525
2026-05-01,932.3151866605326,724.6103680175174,875.4025794018423
2026-06-01,950.694155011799,632.866559169734,863.6071184360039
2026-07-01,945.0177136975282,543.9980315394059,835.1354499023089
