Date,Prophet,SARIMA,Ensemble
2022-09-01,586.0430897247921,648.9894932624105,613.2230179728069
2022-10-01,588.2170916942275,650.555306657424,615.1344072926702
2022-11-01,593.7411766429782,656.9116709530103,621.0178661159866
2022-12-01,601.0991956490495,663.4452427447194,628.0198931213831
2023-01-01,614.6108938977412,706.5017005672873,654.288864227497
2023-02-01,617.8274021906561,699.8204155377758,653.2315570647528
2023-03-01,624.7620742333564,691.6659740754137,653.6508287137094
2023-04-01,635.9752477589358,706.2133038129517,666.3036734757011
2023-05-01,642.3563876317273,718.288918263725,675.1436577262685
2023-06-01,642.0537790143443,721.3821507170097,676.3073555450785
2023-07-01,644.7746171809447,723.406974239701,678.7276582240602
2023-08-01,652.8737577320545,720.5177949702809,682.0820996739775
2023-09-01,654.4697879485203,731.5609980633086,687.7573697913867
2023-10-01,657.3866953770972,727.0819415105651,687.4807386055288
2023-11-01,662.1714987525634,727.7845895925975,690.5028886483628
2023-12-01,668.0701800083185,734.481361790099,696.7461814039489
2024-01-01,667.0933771075258,719.8263631991805,689.8632050519956
2024-02-01,670.1280966925835,724.9958060813982,693.8196870060741
2024-03-01,670.4605529063535,726.2194992217941,694.5369746693993
2024-04-01,683.7573399585859,745.6027835084467,710.4618794347338
2024-05-01,698.5558545440227,755.6101075346731,723.1915829634106
2024-06-01,703.8846414161944,756.6789091012118,726.6809304325748
2024-07-01,703.355974673417,752.6567277397936,724.6437823257859
2024-08-01,704.9114538798865,757.194385151552,727.486950503939
2024-09-01,707.1461776170353,764.3327597449954,731.8390450666943
2024-10-01,707.7316545846494,762.9135848225537,731.5589238194493
2024-11-01,714.6168425926304,768.1733823758169,737.7422767192841
2024-12-01,724.8773085592028,777.1760862740232,747.459647594636
2025-01-01,732.3892283257334,783.2502893534859,754.3507688055806
2025-02-01,736.2275430339599,782.8536964925428,756.3604725464115
2025-03-01,732.6100352577275,778.285852329293,752.332614482332
2025-04-01,745.3223549301949,793.3797658529254,766.0732939395151
2025-05-01,757.3532864759432,802.7895367979485,776.9724220294605
2025-06-01,760.7437439642285,804.2573905116722,779.5327092505802
2025-07-01,761.2154545967808,803.8727241333115,779.6346407630917
2025-08-01,764.9538060694213,806.0878452812565,782.7152693380979
2025-09-01,767.0035704682707,816.6051767319161,788.4212849597184
2025-10-01,768.4001721432494,814.3835797707562,788.2555673632149
2025-11-01,774.6247368742228,817.1075122915778,792.9685773913409
2025-12-01,783.4375494635466,823.944965201519,800.928439989367
2026-01-01,789.6694597256703,829.161987931673,806.7221271164349
2026-02-01,793.1536733168068,830.7967860929256,809.4077727853394
2026-03-01,794.8200836696994,829.136454470003,809.6377133302583
2026-04-01,806.8377421665853,847.0685153679669,824.2091798901436
2026-05-01,816.0614220212844,857.7381110721033,834.0571986559115
2026-06-01,817.5738185521266,859.7341649808847,835.7784359161712
2026-07-01,819.1291495083746,857.6835181866707,835.7767245155367
