Date,Prophet,SARIMA,Ensemble
2022-09-01,234.99693928782705,204.75757849486234,222.1434320084425
2022-10-01,235.2072604444431,214.75635096575786,226.51442081552239
2022-11-01,237.46643024752913,224.32461557607837,231.88038589625057
2022-12-01,237.80144549711744,220.01719465881712,230.24209266642941
2023-01-01,297.8765430803924,249.29326855509566,277.22579331611416
2023-02-01,301.35397272145605,257.94020528191146,282.9005675840194
2023-03-01,305.8435369966035,256.83636394739096,285.0126054222607
2023-04-01,305.19489594425215,257.100229120002,284.75183319707605
2023-05-01,299.60679207881066,265.5007771252957,285.10972931094307
2023-06-01,300.83164117859405,269.7229301253845,287.6086088958572
2023-07-01,300.3210000733402,263.55557294483214,284.6935306813316
2023-08-01,300.71825764612703,262.80794724322084,284.6041455105011
2023-09-01,303.64641014410466,258.1056488325785,284.2889074827851
2023-10-01,302.9565351289895,257.93138102885405,283.8181958650145
2023-11-01,304.21945115678767,265.4174208729325,287.7263056130344
2023-12-01,302.6030641906409,266.0497741489958,287.06576554029874
2024-01-01,302.0387760863256,243.42950256286179,277.1263869313091
2024-02-01,308.01054732532714,247.10982939142252,282.12415949317074
2024-03-01,301.98280127114833,242.84864824391877,276.847307449051
2024-04-01,304.5934744226556,247.91034289635758,280.4998089288701
2024-05-01,315.0391036935748,250.47145489602667,287.5940545235833
2024-06-01,315.8386491981454,255.34395869813966,290.1248469114633
2024-07-01,307.22451864722973,246.38976353349153,281.3661688941512
2024-08-01,309.0424454737437,249.75962221395827,283.84375805673324
2024-09-01,304.40822043870537,241.81103750103154,277.8007351791112
2024-10-01,306.199006213302,244.4125220928397,279.93611564338266
2024-11-01,310.3603284357067,251.27076753206518,285.24378888943113
2024-12-01,314.64836671207564,249.16634771995905,286.8146564181799
2025-01-01,324.42563821869203,266.43798332030116,299.77747354834906
2025-02-01,323.15181760380256,271.3699805380064,301.1414905925264
2025-03-01,318.5762328731815,258.23050852464047,292.9257499643574
2025-04-01,320.2320103986384,255.57166536279357,292.7475598741713
2025-05-01,325.3269361165782,255.87901627369683,295.8074846523042
2025-06-01,326.1571019037513,253.19174132883262,295.1425312018854
2025-07-01,320.2040132880214,247.13219089196764,289.1441900491622
2025-08-01,321.5476822917489,245.9932629381853,289.43260929798896
2025-09-01,319.4593570549386,243.40790091961895,287.13301418890313
2025-10-01,320.4967682002492,249.01197804527993,290.11152702689924
2025-11-01,323.72272944808816,257.09867715345905,295.40358781628663
2025-12-01,326.0270092470044,254.24533638218998,295.51557545674547
2026-01-01,334.1456226077544,269.7423723276002,306.7704524790068
2026-02-01,335.2067404862896,276.1965617984866,310.1239430516982
2026-03-01,335.2037007445849,269.02780223767445,307.0750508368699
2026-04-01,335.77247262057614,268.26311213671613,307.077022926819
2026-05-01,335.52048700355846,272.28860341282814,308.6432166277991
2026-06-01,336.4921843534821,273.2262546591362,309.600442380798
2026-07-01,333.24134071403665,266.8878851226378,305.0372185999611
