date,horizon_months,predicted_price,lower_80,upper_80,selected_model,reason,view_frequency,source_frequency,confidence_score_percent,interval_confidence_percent
2026-08-01,1,680.71,635.85,743.35,ridge_ar_1,"The forecast is higher than the latest observed monthly price (4.1% difference). The selected model was most influenced by the same period last year, the long-term time trend, the most recent price. It also accounts for seasonal timing and the available market-factor data.",monthly,monthly_model,88.1,80
2026-09-01,2,747.42,650.51,859.12,local_trend_60,The forecast is higher than the latest observed monthly price (14.3% difference). It extends the recent price trend while limiting the view to recent history.,monthly,monthly_model,83.9,80
2026-10-01,3,756.1,652.26,876.43,local_trend_60,The forecast is higher than the latest observed monthly price (15.7% difference). It extends the recent price trend while limiting the view to recent history.,monthly,monthly_model,83.2,80
