,Prophet,SARIMA,Ensemble
MAE,824.7420079520696,258.86898988639786,394.88087422578565
MSE,742257.309239448,74695.88985276117,171705.2331819287
RMSE,861.5435620091697,273.3054881497281,414.3733017243373
MAPE,354.1244931709756,113.17073074603886,171.07198608169904
SMAPE,120.28268688733952,68.38019645592485,87.03998740896508
R2,-445.53398931754424,-43.93624147097139,-102.2960158223134
Bias,824.7420079520696,258.51701269836695,394.88087422578565
