,Prophet,SARIMA,Ensemble
MAE,350.83777387830753,91.02497585676691,146.65500814484614
MSE,137695.9277887675,13263.61089094572,28549.87499915114
RMSE,371.0740192855968,115.16775108920778,168.96708259051863
MAPE,80.53799284313786,19.380222278622202,31.74434640561917
SMAPE,142.19288603835074,22.070977543861236,39.18444777653875
R2,-15.40730215297113,-0.5804394147445322,-2.4018901870447396
Bias,-346.4386151186367,-79.4035354918531,-142.65155624259722
