,Prophet,SARIMA,Ensemble
MAE,441.33959035628504,80.69015022358302,144.03786971269807
MSE,213623.4477739678,9845.265756575995,25251.397519340615
RMSE,462.19416674593356,99.22331256602953,158.90688317168838
MAPE,104.35065086337116,17.493158373437197,32.73019327665424
SMAPE,183.64744960485356,19.816944577758775,40.09846750653592
R2,-34.501877851282174,-0.6361753634516769,-3.1965057658574336
Bias,-436.561974812399,-77.87584655195025,-141.26900249911156
