,Prophet,SARIMA,Ensemble
MAE,222.91589859551834,353.8851014892982,272.74037990594786
MSE,61255.01632294151,158521.4846424995,92037.13254964638
RMSE,247.49750771056566,398.14756641539265,303.37622278228463
MAPE,45.456897306669205,72.81445852284634,55.88909539946187
SMAPE,35.79916912017846,49.5117655835533,41.40503398601078
R2,-6.080550997797509,-17.32371491569448,-9.638697854117664
Bias,192.87516020538268,352.71303477682886,254.14640222289603
